MCES	Nonconformity	Ion Type
9.28	1.2135162353515625	[M-H]-
10.5	-8.291125488281239	[M+H]+
10.5	4.363983154296875	[M+Na]+
10.414	-1.7983367919921989	[M-H]-
10.31	-15.038049316406244	[M+H]+
10.31	-10.671054077148426	[M-H]-
11.22	1.0617462158203068	[M+H]+
9.5	-2.845458984375	[M+Na]+
10.2	3.578390502929693	[M-H]-
9.75	-8.572634887695315	[M+H]+
10.28	3.1690353393554744	[M-H]-
10.26	-1.0924011230468693	[M-H]-
10.75	-0.5828186035156193	[M-H]-
9.836	-3.6015869140624943	[M+H]+
9.836	-5.9881134033203125	[M+Na]+
10.39	-2.9016403198242244	[M-H]-
7.76	0.42039184570313637	[M-H]-
10.76	0.8529525756835881	[M+H]+
10.76	12.903114318847656	[M-H]-
9.78	-0.9762847900390739	[M-H]-
9.9	-0.9613861083984432	[M-H]-
10.89	-0.004519653320315342	[M-H]-
12.24	3.4558532714843864	[M+H]+
9.414	0.27955932617186363	[M+Na]+
10.01	-4.705816650390631	[M-H]-
11.586	-0.12976379394530113	[M+Na]+
10.414	-6.776080322265628	[M-H]-
9.86	5.300048828125	[M+H]+
10.03	-2.0734130859374886	[M-H]-
9.98	-7.021539306640619	[M-H]-
11.31	1.6719375610351506	[M+H]+
10.75	3.2957824707031307	[M-H]-
10.695	-1.11181640625	[M+H]+
9.83	0.6670623779296818	[M+H]+
10.37	-1.9188079833984375	[M+H]+
9.98	2.9506378173828125	[M-H]-
9.914	-4.956628417968744	[M-H]-
10.49	-2.3625305175781364	[M-H]-
10.4	4.8126220703125	[M+Na]+
8.39	2.9121551513671875	[M+H]+
8.39	6.909033203125006	[M+Na]+
8.39	0.5780822753906136	[M-H]-
11.01	-5.477731323242182	[M+H]+
11.01	-0.2999725341796875	[M+Na]+
10.94	-4.158700561523432	[M+Na]+
11.6	-4.362194824218761	[M+Na]+
11.9	-3.2746032714843807	[M+Na]+
11.27	-4.922906494140619	[M+Na]+
10.75	-7.546832275390614	[M+Na]+
9.805	-2.3342224121093693	[M+H]+
9.805	2.676492309570307	[M+Na]+
9.805	-4.179278564453114	[M-H]-
10.31	-1.4620788574218864	[M+H]+
10.31	-0.363494873046875	[M-H]-
11.195	-6.4925079345703125	[M-H]-
10.81	-11.171008300781239	[M+Na]+
9.42	1.9277359008789006	[M-H]-
13.445	120.26712036132812	[M+H]+
11.37	0.7985015869140568	[M+H]+
12.13	-2.3579208374023466	[M+H]+
11.24	0.28272705078126137	[M-H]-
7.727	-1.4537750244140568	[M-H]-
10.08	2.390615844726568	[M-H]-
10.61	3.9706970214843693	[M-H]-
10.77	8.079380798339841	[M-H]-
10.77	3.667619323730463	[M-H]-
10.55	2.584329223632807	[M+H]+
10.55	-3.076022338867176	[M-H]-
8.67	-6.723535156249994	[M-H]-
11.78	0.42300109863282387	[M-H]-
10.695	1.6419448852539062	[M+H]+
10.695	3.7640151977539062	[M-H]-
10.2	7.2179107666015625	[M-H]-
10.37	3.05565948486327	[M+H]+
10.37	-0.5338088989257841	[M-H]-
15.24	12.760339355468744	[M-H]-
8.13	1.6937683105468864	[M-H]-
8.27	3.6513427734375057	[M+Na]+
9.95	-2.2406738281250114	[M+H]+
9.94	3.7980758666992216	[M-H]-
10.73	-1.7615295410156193	[M+Na]+
10.48	-0.4897399902343693	[M+H]+
10.75	3.177011108398432	[M-H]-
10.77	2.7880630493164062	[M-H]-
9.48	-1.3923583984374943	[M-H]-
9.33	2.24224853515625	[M-H]-
9.26	3.0140380859375	[M-H]-
10.92	-11.262344360351562	[M-H]-
11.414	-1.1297225952148438	[M+H]+
11.15	-6.535696411132818	[M-H]-
10.19	-9.456691454296873	[M-H]-
12.836	-6.909786987304699	[M-H]-
10.52	10.340811157226568	[M+Na]+
9.555	4.944128417968756	[M-H]-
9.28	-1.4524948120117216	[M-H]-
9.97	7.540728759765614	[M-H]-
9.914	-4.817257690429699	[M+H]+
10.37	-2.827423095703125	[M-H]-
7.37	-0.7511840820312443	[M-H]-
7.37	-4.438555908203114	[M+H]+
8.24	3.0401718139648324	[M-H]-
6.977	-0.6290374755859318	[M-H]-
9.22	-0.6380462646484375	[M-H]-
10.15	2.157339477539068	[M-H]-
10.62	-2.549661254882807	[M+Na]+
