MCES	Nonconformity	Ion Type
9.45	-1.79164856	[M+H]+
8.81	-1.465906982	[M+H]+
9.945	1.57204834	[M-H]-
9.9	-2.79581665	[M-H]-
10	4.517941895	[M-H]-
9.85	-11.41121704	[M+Na]+
8.56	-0.421187744	[M+H]+
9.87	0.473740234	[M+Na]+
10	-4.835668335	[M+Na]+
9.8	3.259376221	[M+H]+
9.69	-1.724675293	[M-H]-
8.695	-1.712161865	[M-H]-
10.48	2.481169434	[M+H]+
9.86	3.30446106	[M+Na]+
10	-1.229891357	[M+H]+
10.11	-11.18543945	[M+H]+
10.38	9.388945312	[M+Na]+
10.08	-2.46730957	[M+Na]+
10	-6.107026367	[M-H]-
9.805	-1.766767578	[M+H]+
10.27	-21.33946777	[M-H]-
10.5	1.523625488	[M+H]+
9.83	-1.337861938	[M-H]-
9.47	-3.807963867	[M-H]-
10.2	-3.530454102	[M+Na]+
8.61	1.344216919	[M+H]+
9.58	-2.727064209	[M-H]-
10.45	-3.588878174	[M+H]+
9.55	-1.460410767	[M+H]+
10.36	-0.407714844	[M+Na]+
10.49	-1.053293457	[M-H]-
10.78	2.764161377	[M-H]-
9.56	1.123739014	[M+H]+
7.88	1.69241333	[M+Na]+
10.1	-1.655770264	[M+H]+
9.87	2.666853027	[M-H]-
9.414	0.485339966	[M+H]+
6.574	-1.367926025	[M+H]+
10.33	5.847629395	[M+H]+
9.49	1.076241455	[M+H]+
10.15	-3.991678467	[M+Na]+
10.37	-2.314608154	[M+Na]+
9.45	-0.328647461	[M-H]-
10.3	-3.161867065	[M-H]-
10.17	0.326462402	[M+H]+
9.95	0.514445801	[M+H]+
9.086	-2.638775635	[M-H]-
9.98	-1.283222656	[M+Na]+
10.11	-0.119434814	[M+Na]+
9.83	3.690577393	[M+Na]+
9.83	4.428188477	[M-H]-
9.65	1.876218262	[M-H]-
9.39	-7.674031982	[M+Na]+
9.48	0.139731445	[M+Na]+
9.836	-0.068313599	[M+H]+
8.94	0.744071045	[M+H]+
7.76	-0.708706665	[M+Na]+
8.24	-1.82734375	[M+Na]+
10.02	3.353238525	[M+H]+
9.67	5.246040649	[M+H]+
10	15.91585693	[M-H]-
10.25	-6.038696289	[M+H]+
8.95	-1.199606934	[M-H]-
10.45	0.267076416	[M+H]+
7.5	1.128505859	[M+H]+
9.836	-4.413966064	[M-H]-
9.77	-4.343095703	[M+H]+
7.977	-0.235171509	[M-H]-
7.28	-2.43883728	[M-H]-
7.97	1.911070557	[M+Na]+
9.94	-0.818470459	[M-H]-
10.414	6.143343506	[M-H]-
9.37	-1.497103882	[M-H]-
8.81	-1.722095947	[M-H]-
7.086	-1.08671875	[M+Na]+
9.39	1.275568848	[M+H]+
9.44	2.388288574	[M+Na]+
10.15	-3.00581665	[M+H]+
10.35	1.696386719	[M+H]+
9.53	-8.037039795	[M+H]+
9.94	2.255221558	[M+H]+
9.67	6.50388916	[M+Na]+
9.85	-4.026972046	[M-H]-
7.434	-0.823999023	[M+Na]+
8.61	-25.19063965	[M+Na]+
9.695	4.522094727	[M+H]+
9.586	-3.128060303	[M+H]+
9.89	-10.72192261	[M-H]-
9.89	2.072068481	[M+H]+
10.19	8.144916992	[M+H]+
10	2.290524292	[M-H]-
9.78	-1.932783203	[M+H]+
9.24	3.442702637	[M+H]+
9.586	0.625581665	[M+H]+
9.98	14.94519043	[M-H]-
9.28	-0.77263855	[M-H]-
9.76	-7.153417969	[M-H]-
9.83	-0.023154907	[M+H]+
9.56	-33.3600415	[M-H]-
10.08	1.125836792	[M+H]+
9.44	-1.237302856	[M-H]-
9.95	-0.805988159	[M-H]-
7.63	1.713590698	[M-H]-
9.83	0.160153809	[M+Na]+
9.74	1.492475586	[M-H]-
10	4.801782227	[M-H]-
10.01	0.965306396	[M-H]-
9.98	0.915523682	[M+Na]+
7.023	0.390175781	[M+H]+
9.74	1.317148438	[M-H]-
10.19	-1.94722168	[M+H]+
10.05	-0.42234375	[M+Na]+
9.555	0.768735352	[M+Na]+
9.88	12.05786987	[M-H]-
9.445	-3.982671509	[M+Na]+
10	-2.473364258	[M+H]+
10.28	1.42100708	[M-H]-
9.67	-7.05822876	[M+Na]+
10.49	-2.38352417	[M+Na]+
9.13	0.519848633	[M+H]+
9.08	13.05834717	[M-H]-
10.31	22.56588318	[M+Na]+
9.98	3.114625244	[M-H]-
10	3.737384033	[M+H]+
10.28	1.50145874	[M+H]+
10.01	-4.062197266	[M-H]-
10.01	2.254993896	[M+H]+
10	-2.827393188	[M+H]+
9.39	0.380870361	[M+H]+
10.17	-0.889083252	[M+H]+
10.5	2.450272827	[M+H]+
6.727	-1.278756714	[M-H]-
9.65	0.007722168	[M-H]-
10.22	-3.863331909	[M-H]-
9.805	2.077086182	[M-H]-
10.1	-3.387370605	[M-H]-
10.305	3.839022217	[M-H]-
9.97	-1.122602539	[M+Na]+
9.88	7.624909668	[M-H]-
9.72	-5.439699097	[M+H]+
9.56	-1.271484985	[M+H]+
8.05	-0.757862549	[M+H]+
9.48	-1.901525879	[M+Na]+
9.83	2.847821655	[M+H]+
9.914	1.653448486	[M+H]+
9.99	7.825681152	[M-H]-
9.6	0.975783691	[M+Na]+
8.67	-2.536102905	[M+H]+
9.78	4.465043945	[M+Na]+
9.56	3.745758057	[M-H]-
5.76	-1.234431152	[M+H]+
10	0.688942261	[M-H]-
9.94	-1.534526367	[M+H]+
9.85	9.984422607	[M+H]+
10.31	10.94623474	[M-H]-
9.74	2.837451172	[M-H]-
10.47	-6.446412354	[M+Na]+
9.88	-5.06161377	[M-H]-
9.99	-0.14895874	[M+H]+
9.87	-3.864372559	[M+Na]+
9.85	2.243254395	[M+Na]+
9.92	-1.261606445	[M-H]-
9.95	9.722404785	[M-H]-
7.695	3.379832153	[M+Na]+
9.695	1.346551514	[M+H]+
9.11	0.167602539	[M-H]-
10.1	2.984840088	[M+H]+
9.26	2.422423096	[M-H]-
10.06	-2.02572876	[M+Na]+
9.78	-0.712944336	[M-H]-
9.99	0.479997559	[M+Na]+
10.47	-0.874411011	[M+H]+
9.53	6.206082153	[M+Na]+
10.14	3.82126709	[M-H]-
10.39	0.617895508	[M+Na]+
10.36	1.354376221	[M+Na]+
10.19	9.178530273	[M-H]-
8.44	-6.859118652	[M+Na]+
9.85	-5.121329346	[M+H]+
9.8	2.251451416	[M+Na]+
9.26	3.500701294	[M+H]+
9.73	3.284796753	[M+H]+
10.15	-3.480880127	[M+Na]+
10.27	0.953308105	[M-H]-
10.055	-4.830616455	[M+Na]+
9.305	-3.461149902	[M-H]-
9.17	-0.875720215	[M+H]+
10.12	0.912475586	[M+H]+
9.85	-1.246209106	[M+H]+
9.76	1.319310303	[M+H]+
9.65	-1.346219482	[M+H]+
10	-3.185430908	[M+Na]+
9.89	-3.794348145	[M-H]-
9.87	-2.565020142	[M+Na]+
9.83	0.013825073	[M+H]+
9.914	4.027885132	[M+Na]+
9.78	0.514753418	[M+H]+
10.47	1.835804443	[M-H]-
9.586	-5.06364502	[M-H]-
9.86	-2.489794312	[M-H]-
8.8	0.116958008	[M-H]-
9.78	-0.172002563	[M-H]-
9.74	9.452262573	[M-H]-
10.49	2.545728149	[M-H]-
9.92	5.811088257	[M+Na]+
9.83	-13.64641846	[M+Na]+
7.695	2.292221069	[M+H]+
9.95	-1.140007935	[M-H]-
9.555	-0.039771729	[M+H]+
9.44	-1.703930054	[M+H]+
9.76	0.488876953	[M-H]-
7.543	-4.797674561	[M+H]+
9.87	-1.755384521	[M+Na]+
9.05	-3.61378418	[M-H]-
9.98	-1.472802124	[M+H]+
9.336	-1.866044922	[M+H]+
10	3.34057312	[M-H]-
9.945	-8.980631104	[M-H]-
10.4	4.631159668	[M+H]+
9.87	-1.00713501	[M+H]+
9.76	-6.849481201	[M+H]+
10	3.874199219	[M+H]+
10	-4.432095947	[M+H]+
9.914	-1.79461792	[M-H]-
9.98	1.785316162	[M-H]-
9.695	-4.85272644	[M+H]+
9.72	0.867219849	[M+H]+
10.03	2.892056885	[M+Na]+
9.02	-1.922874146	[M+Na]+
9.586	5.985755005	[M-H]-
10	1.753960571	[M+H]+
10.336	-7.665047607	[M-H]-
8.445	3.788520508	[M+H]+
4.523	-2.433510742	[M+Na]+
9.555	-0.221837158	[M+H]+
9.67	-1.437440186	[M+H]+
9.74	1.130872803	[M+H]+
9.7	-1.68708374	[M-H]-
9.53	-0.3940625	[M+Na]+
10.06	-3.10677124	[M+Na]+
10.19	-0.641747437	[M+H]+
9.98	-0.147211914	[M+H]+
9.39	-3.480012817	[M+Na]+
7.684	-1.898952637	[M+H]+
8.914	-0.005213623	[M+Na]+
10	-5.359855957	[M+Na]+
9.305	7.870371704	[M-H]-
9.83	6.35538208	[M+Na]+
10.195	-3.656533203	[M+Na]+
10.02	-1.165084229	[M-H]-
9.945	-2.10626709	[M+Na]+
10.36	0.649884644	[M-H]-
9.914	-6.416154785	[M-H]-
10.22	5.747827759	[M+Na]+
9.414	10.22068848	[M-H]-
9.89	1.925212402	[M-H]-
9.65	0.06760376	[M+H]+
4.977	-1.629682617	[M-H]-
9.61	0.529710693	[M+H]+
9.64	5.824457397	[M+Na]+
9.305	-0.851862183	[M-H]-
9.19	-1.766943359	[M+H]+
8.914	0.122478027	[M-H]-
9.85	-1.762794189	[M-H]-
10.38	7.631726074	[M-H]-
9.89	-6.929420776	[M-H]-
10	-9.738532104	[M+H]+
10.336	1.408644409	[M+H]+
8.98	1.453173218	[M+Na]+
9.5	-2.353464966	[M+H]+
9.086	1.801975098	[M+H]+
9.97	-3.397168579	[M+H]+
9.87	4.602901611	[M+H]+
9.64	1.010647583	[M+H]+
10	-3.714185791	[M+Na]+
10.22	18.14629272	[M-H]-
9.9	-1.472746582	[M+Na]+
10.164	-0.979246826	[M+H]+
9.87	3.221203613	[M+H]+
9.76	1.55979126	[M+Na]+
8.44	0.060114136	[M-H]-
9.44	-6.822949219	[M-H]-
10.19	0.367271729	[M-H]-
9.37	-4.528803711	[M+Na]+
9.27	-2.87427063	[M+Na]+
9.95	-0.761454468	[M+Na]+
8.48	-2.605864258	[M+H]+
10.336	-1.846732178	[M-H]-
9.55	-0.820788574	[M+H]+
10.45	2.808666992	[M+Na]+
10	-2.143010254	[M-H]-
9.695	-1.211446533	[M-H]-
9.87	-7.537180176	[M+Na]+
10.305	1.459154053	[M+H]+
10.35	0.059656982	[M+H]+
9.914	2.253099365	[M+Na]+
10.05	-4.083244629	[M+H]+
10.086	1.351586914	[M+Na]+
10	5.515267334	[M-H]-
10.5	9.009421387	[M+Na]+
10	2.030825195	[M+H]+
9.72	0.573986816	[M+H]+
